project	upstream	base_revision	qualified_topic_head	qualified_tree	patch
build/release	https://android.googlesource.com/platform/build/release	c85f4aebe46714235599a9bd6430a0fe30c6e8d5	714b846843cf0f42713ca25e1203e794ad875101	c87b33bcb79023a01ae8fcb47309b3aeccf9bdc3	patches/00-build-release.patch
build/soong	https://android.googlesource.com/platform/build/soong	6722dd8833db7482df1a2543ca3fcf67ddf0f7b1	1f090ccdadf45f3cc364b5a07b36053db766e899	4c92814f141435aadfebcea44bd4eee1eecd71f7	patches/01-build-soong.patch
frameworks/base	https://android.googlesource.com/platform/frameworks/base	94b4c163b7dfe5ce3607f7bb8456f9573f7de57d	34aecf2cf7f8d6bf3e2a8d3b1bd79181de86b733	30bd881f563fedc44da046d213709888795d9bd5	patches/02-frameworks-base.patch
frameworks/native	https://android.googlesource.com/platform/frameworks/native	ae266dcb706d083868578cfedce381ef44488a07	d26481082a31807af3f3a4a3fd947a32acc7faa6	ffc6a72c563aaf415938023803be88a87dd1b058	patches/03-frameworks-native.patch
hardware/interfaces	https://android.googlesource.com/platform/hardware/interfaces	0162af698935100a590b7359581ac8b1b80693e5	8ec2902e82a1116782e3c83fe9fa474a75488363	1986579ca577c9f1ccafc6923003cff000ac3f28	patches/04-hardware-interfaces.patch
kernel/configs	https://android.googlesource.com/kernel/configs	553fd8d034110b4a63834e676533f5cc4c5e0089	d03b15de4f4c80363e857772632eb33f52274dc2	268ff7031aa758adf2b8fbf9eb96cca043a1d582	patches/05-kernel-configs.patch
packages/apps/Settings	https://android.googlesource.com/platform/packages/apps/Settings	213829fb67f5e070029e0513a088f31bc8f5c1ed	cd2e0ef28f9d086ca06c185c2c48031d3b600f29	27928190ff07bc874c910abdbde10f76fff4e464	patches/06-packages-apps-Settings.patch
packages/modules/Bluetooth	https://android.googlesource.com/platform/packages/modules/Bluetooth	c77db469de80f86660bc053bec4dee0c5d4b947c	672430ae3485dccff218f9eccf7b986ac6424912	2fe78320f0c2013dff3f2201fd9ea4865d9ef907	patches/07-packages-modules-Bluetooth.patch
packages/modules/Connectivity	https://android.googlesource.com/platform/packages/modules/Connectivity	347fbd34b368d19f0d87e908ea101eed3601a731	884e19db72e26f458ab3edd721a070682432f175	5c213234800cc1b494ff56f074b911b5d4f1bb59	patches/08-packages-modules-Connectivity.patch
system/apex	https://android.googlesource.com/platform/system/apex	ce2bb9f710183c864040401d859874b5723e44d8	15fb2cb2c8a747ef91b4d04da5f650ee03e3a834	646bfe4a3699fd93a644e9e9780fab696e1a1de6	NONE
system/bpf	https://android.googlesource.com/platform/system/bpf	d68a263039127dc709114802395e57537a02babf	47e043f8846b35ea2b2be0426b83dc4b55c3e83a	cefedb7bc3cbf0db6fc5812826bb7bc5a4df992f	patches/09-system-bpf.patch
system/bpfprogs	https://android.googlesource.com/platform/system/bpfprogs	60f086effe11d1afb248ff3c9a2a780b66a34506	f84ef8b959e026c9576709d040def5844bfa79aa	e3f8f96513f31bdc2ccc2ae820bab8666b0a3649	patches/10-system-bpfprogs.patch
system/core	https://android.googlesource.com/platform/system/core	545d2487e38192a2ce25040897ced877cf6b4f53	866e1908d20d3b965e243ea14edc37e125cf7208	f3457aa8b2b5117dcaf8f53ee9f13948bce726e9	patches/11-system-core.patch
system/memory/libion	https://android.googlesource.com/platform/system/memory/libion	2f9196be89b3851049b565b6c338f707e50440ba	cbf0d3394db100b37fc350bc4b5a99062fbb36d3	c1a9a531bffefe9834ad15ecb91030aa063f9e61	patches/12-system-memory-libion.patch
system/sepolicy	https://android.googlesource.com/platform/system/sepolicy	e066568e98d86db31a9346d30977f3632fa7073c	8812c9f5231187ef88fd1827c98946a3ce1a33ef	4238349a16b629f18eb322c0e3145f7018745f23	patches/13-system-sepolicy.patch
bootable/recovery	https://android.googlesource.com/platform/bootable/recovery	080f671785c84ae1ac38797fe1fa7364d158fab4	3349c7fe7867518305ec7a4340086f76721b94c4	56c11273599467e41fb634810328f50bd5c88cb9	patches/14-bootable-recovery.patch
build/make	https://android.googlesource.com/platform/build	5ce6f787337d0223710bf7d4a16dbe6d2a35f777	7b7af62600008a5f309fd7c7a845a352e31d75ff	d2c822eaaa42934660d7c8e1df9c708a9d11b94f	patches/15-build-make.patch
packages/apps/Updater	https://github.com/LineageOS/android_packages_apps_Updater	7796b02456f3c51881d9a1f2ef8d71f454542d15	c59dc52be917d91f99444d9a380011f28f8c347b	96843e781a1b40643afb66c630d5b97fad12f0ad	patches/16-packages-apps-Updater.patch
packages/apps/FaceUnlock	https://github.com/Evolution-X/packages_apps_FaceUnlock	44e4aa4e3d37eca48de4e143712377505b15c1cc	b9b116257c05c108a8439b401bfb71aa20234aa5	633fbbc72e70a7123778ba5e14eb03ffc22a700c	patches/17-packages-apps-FaceUnlock.patch
